acid,epoxide,tg,std
Cc1cc(NC(=O)N(CCC(=O)O)CCC(=O)O)n(Cc2ccccc2)n1,COc1cccc(C(=O)Nc2ccc(OCC3CO3)c(COC(C)C)c2)c1OCC1CO1,446.9072,23.3162
CC(C)(O)CN1CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC1,O=C(C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1ccc(C(=O)NC2CCOCC2)cc1,436.7943,17.0499
Cc1cc(C(=O)N(CCC(=O)O)CCC(=O)O)oc1C,CCOC(=O)c1ccc(CNC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)cc1,459.7407,29.0334
O=C(O)COCc1cc(COCC(=O)O)cc(NC(=O)CN2CCCCCCC2=O)c1,O=C(O)c1ccc2c(c1)N(C(=O)Cc1ccc(OCC3CO3)c(OCC3CO3)c1)CCC2,444.7906,36.3145
COc1ccc2nc(C=Cc3cccc(OCCC(=O)O)c3)cc(C(=O)O)c2c1,CN(C)C(=O)c1cccc(NC(=O)COC(=O)C(CC2CO2)CC2CO2)c1,429.2775,42.7448
O=C(O)COCc1ccc(NC(=O)CC2CCC(c3ccccc3)CC2)cc1COCC(=O)O,Cc1ccc(OCc2ccccc2)c(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)c1,438.2649,26.5105
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)NCCC2CCNCC2)cc1,O=C(NCc1ccc(C(=O)N2CCCC2)cc1)c1cccc(OCC2CO2)c1OCC1CO1,442.3488,21.4141
CN(C(=O)C1CC1)c1ccc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)cc1,CC(NC(=O)CCCC1CO1)c1ccccc1NC(=O)CCCC1CO1,423.1816,37.9742
O=C(O)COCCCN(CCCCCOc1ccccc1)CCOCC(=O)O,O=C(NCc1ccccc1CN1CCCC1)c1cccc(OCC2CO2)c1OCC1CO1,346.0053,15.2829
CCc1ccc(NC(=O)NC(COCC(=O)O)COCC(=O)O)cc1C,c1cc(N2CCCCC2)ccc1CN(CCCOCC1CO1)CCOCC1CO1,388.0306,17.822
CC(C)(C)CCCCNC(=O)C(CCC(=O)O)CCC(=O)O,COc1cc(COCC2CO2)ccc1C(=O)N(C)CCOCC1CO1,384.0887,8.4519
Cc1ccccc1NC(=O)CCN(CCC(=O)O)CCC(=O)O,Cc1nc(COc2ccc(C(=O)Nc3ccc(C(=O)N(CC4CO4)CC4CO4)cc3)cc2)no1,399.8231,23.3558
